orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
1722,"I think Farage makes a much better leader than any of the other parties, he's full of enthusiasm and is not a PR man like the current leaders of the 3 main parties.",Mr Marchessini said he had met UKIP leader Nigel Farage on two occasions but would make no more donations.,2,No Relation,C,0,0,1,
3550,databed seems to be proposing that the biblical creation account is metaphorical therefore if reality does not exactly match it it does not invalidate the whole of the bible,very well said thank you for clarifing very helpful,1,Support,C,0,1,0,
279,"The momentum is with UKIP; Labour, Conservative and Liberal areas are all now vulnerable to them. ","A by-election will also be held for the Westminster seat of South Shields, vacated by Labour's David Miliband.",2,No Relation,C,0,0,1,
2164,"UKIP advocates for the UK leaving the European Union which would be a bad idea – but they are trying to leverage on the british people’s need to belong and pride to be british, which further sparks their anti-foreigner standpoint.",He told the BBC that he has not proposed a pact with anybody and insisted the speculation was coming from members of the Conservative party who are saying 'we must do a deal with UKIP'.,2,No Relation,C,1,0,0,
124,A vote for UKIP is a vote to leave the EU and recover power over our national life.,He told the BBC at least 13 party members had shown an interest in standing in Eastleigh and he was expecting a vigorous UKIP campaign.,2,No Relation,C,0,0,1,
246,"The sooner we are out of the EU, the sooner we can start making this country great again.","David Cameron, Ed Miliband and Nick Clegg said the fate of a Syrian generation hangs in the balance with four million children caught up in the civil conflict.",2,No Relation,C,0,0,1,
3624,the fetus has never achieved conciousness let alone has known anything,well you get the idea,1,Support,C,0,1,0,
941,The current smear strategy against UKIP is not pulling people back but pushing them towards UKIP and if this carries on then things are going to be a lot tighter by the time the general election comes.,David Miliband held one of the great offices of state - Foreign Secretary - so was he was always going to be a difficult act to follow.,2,No Relation,C,0,0,1,
3529,i believe abortion is a crime against humanity and should be outlawed,i think the same about religion why should you get your way and tryannise women and i not get mine,0,Attack,C,1,0,0,
2076,It is more likely that Tory voters would vote tactically for UKIP to keep Labour out and that means Labour are at a real disadvantage. ,"Labour has declined to say how it expects to do, but experts have said it will be looking to retake control of councils such as Derbyshire and make inroads across the south of England at the very least.",0,Attack,C,1,0,0,
3840,The voting age should be lowered to sixteen years,Sixteen year olds are mature enough to vote,1,Support,C,0,1,0,
1644,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"UKIP, which wants to leave the EU, hopes to top May's poll while the Lib Dems say they are the party of 'in'.",2,No Relation,C,0,0,1,
