orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
4003,one million voters disagree with you what do you think they saw in this movie that you did not,yes completely agree i loved this film watched it twice on successive nights what a clever storyline and full marks to sam rockwell wonderful actor,1,Support,C,0,1,0,
3392, i definitely agree with evolution, what this is pointless first off if there wasnt evolution the diseases we have today wouldnt be as strong as they are and there wouldnt be humans everything starts somewhere and evolves   notice that almost all forms of complex life have both male and femalehorses cats dogs humans moths monkeys fish elephants etc,1,Support,C,0,1,0,
1617,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"David Cameron should consider a pact with UKIP, his elections adviser has said.",1,Support,C,0,1,0,
2575,your intelligent cause is completely undefined,non sequitur,0,Attack,C,1,0,0,
1597,"On voting day, this week the vast majority of the British public will not vote for UKIP.","Giles Dilnot reports from Buckinghamshire with UKIP councillors looking at the results of the BBC/Comres survey, which included 81% who believed climate change was not happening or that human activity was not mainly responsible,",2,No Relation,C,0,0,1,
420,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"Labour's candidate, Mr O'Farrell, has said the campaign re-invigorated the party in the area, which Ed Miliband has visited to campaign several times.",2,No Relation,C,0,0,1,
822,"There's an election next month, UKIP are campaigning on the streets right now, and candidate upon candidate keeps churning out ridiculous (often racist, sexist or homophobic) views.",A UKIP candidate in Somerset was suspended from the party on Tuesday after a photo of him apparently making a Nazi-style salute appeared on his Facebook page.,1,Support,C,0,1,0,
2882,jon buell the president of the foundation for thought and ethics testified in court enjoyby mr,you still have yet to provide any passages within pandas which state that god is directly implicated saying that the fte is religious therefore so is pandas,0,Attack,C,0,0,1,
1956,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,UKIP said leaving the EU was the only way to fully take control of the UK's borders.,1,Support,C,0,1,0,
2169,"The ratio of nutters in UKIP is far higher than in other parties, especially so since they seem determined to take all the Tories' fruitcakes off them.",UKIP leader Nigel Farage said any members proven to have extreme right wing views would be expelled.,0,Attack,C,0,1,0,
526,Big business will not support UKIP given the devastation that withdrawal from the EU would cause.,Nigel Farage is an intelligent man.,2,No Relation,C,0,0,1,
628,UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,Farage admitted the party had not had time to properly vet all of its new recruits and he was forced to suspend a handful of them following newspaper reports of alleged racist comments.,1,Support,C,0,1,0,
3681,but if we get this right we will waste less research time with dodgy students we wish we had rejected at interview,but interviews basically do not work very well,0,Attack,C,1,0,0,
3325, evolutionist say we were boiling outerspace for a billion years in soup then bang we have earth                               retarted                 if evolution is real how come we cant take monkeys with us on airplanes   supposedly we evolved out of animals, i believe in evolution evolution is the mechanism that some species of animals and plants use to adapt to certain circumstances do to the change,1,Support,C,1,0,0,
2928,heres some links to actual passages something nick failed to provide as requested,debates like this do nothing more but cause problems for people who are trying to pursue legitimate alternatives to neodarwinian theory,0,Attack,C,0,0,1,
1766,"UKIP advocates for the UK leaving the European Union which would be a bad idea – but they are trying to leverage on the british people’s need to belong and pride to be british, which further sparks their anti-foreigner standpoint.",Their debate followed a Daily Politics flim looking at a possible pact between UKIP and the Tories.,2,No Relation,C,0,0,1,
1225,The Greens offer much more of an alternative to the big parties than UKIP ever will,"And yet all the opinion polls and recent by-elections suggest that it is UKIP that is poised to pick up the protest vote, not the Greens.",0,Attack,C,1,0,0,
728,"On voting day, this week the vast majority of the British public will not vote for UKIP.","At the 2010 general election,  support dwindled to 3.1% and UKIP did not win a Westminster seat.",1,Support,C,0,1,0,
2505,so we detect design by inferring that some parts appear to have been arranged for a purpose,in order to have purposefulness and intentionality you need selfawareness,1,Support,C,0,1,0,
2868,i do not wish to begin to defend the di as i am not familiar enough with their theory,i am glad that someone is trying to oppose the paradigm of undirected chancenonintelligent necessity,0,Attack,C,0,0,1,
3412, this sounds like religious faith speaking, evolution is one of the most strongly supported theories in all of science,1,Support,C,1,0,0,
2702, without a scientific definition of natural scientists cannot distinguish between natural explanations and supernatural ones,youre right much if not all of the claims about supernatural claimspremises of id make it invalid rest on some faulty views on what supernatural actually means,1,Support,C,0,1,0,
3094,speaking as a nonchristian this argument that the days of creation could not be allegorical simply because the author used an ordinal and the phrase evening and morning is juvenile and unconvincing,if you believe in god which one and god gave you the brains to think then use your brains and follow the evidence,1,Support,C,0,0,1,
726,UKIP are in with the City as much as the other three and I don't like the way they are whipping people up into a frenzy.,"He said the party would consider other measures including the legal route if it did not get redress from the council, which he said was continually backtracking.",2,No Relation,C,0,0,1,
1274,"UKIP advocates for the UK leaving the European Union which would be a bad idea – but they are trying to leverage on the british people’s need to belong and pride to be british, which further sparks their anti-foreigner standpoint.",People would have to remain on Help to Work until they found employment.,2,No Relation,C,0,0,1,
1412,People are not voting for UKIP because of immigration propaganda but because of their direct experience of immigration.,"UKIP says it is particularly well-organised in the South-East, Eastern region and South-West, but there are still significant parts of the country where no UKIP candidates are standing at all.",2,No Relation,C,0,0,1,
4047,i turned this movie off halfway through because i was bored out of my skull then i come here and its got a high rating granted its got a good storyline good acting nice cinematography but somehow still managed to bore me to tears,i will also agree that i was bored at times considering all of the reviews that this movie got,1,Support,C,0,1,0,
1788,If anyone seriously thinks that UKIP will offer some kind of answer to our current problems then I think that they are going to be sadly disappointed.,Mr Farage has successfully broadened UKIP's appeal away from Europe.,0,Attack,C,1,0,0,
101,"If UKIP have a good general election and manage to take a few seats then that can only benefit Labour, because all of the seats that UKIP can possibly, conceivably win - well they are all Tory seats.","Mr Farage will say immigration has now become the number one issue in British politics, adding eighty per cent of the British people did not want borders to come down with Romania and Bulgaria, but they did.",2,No Relation,C,0,0,1,
1330,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,"And when asked if he could see the MEP appearing in UKIP election leaflets for next year's European elections, Mr Farage replied no.",2,No Relation,C,1,0,0,
302,A strong UKIP vote suggests there's a lot of the British public who aren't on board with the current set-up.,"This, Mr Cameron says, would follow a full renegotiation of relations with Brussels.",2,No Relation,C,0,0,1,
3775,i believe this question basically depends on each country for example in cyprus solar and wind seem the way to go other countries have different needs,i agree my country has got a lot of coal for example so most power plants are coal powered,1,Support,C,0,1,0,
1856,"UKIP advocates for the UK leaving the European Union which would be a bad idea ‚Äì but they are trying to leverage on the british people‚Äôs need to belong and pride to be british, which further sparks their anti-foreigner standpoint.",Their debate followed a Daily Politics flim looking at a possible pact between UKIP and the Tories.,2,No Relation,C,0,0,1,
1015,If UKIP are wise they will alter their attitude about the NHS and public services in general.,"Under UKIP's plans, migrants would have to provide their insurance details when they registered with a GP and the costs of any treatment would be recovered from insurers by the NHS, which seems like just more admin work",1,Support,C,0,1,0,
898,"I don't believe Farage is a racist and I don't believe the UKIP policies are racist, but I do think they will be the party that attracts most support from racists.","I have absolutely no doubt that in the run up to the European elections we will hear a speech from Ed Miliband pledging to hold a referendum on the European question, he said.",2,No Relation,C,0,0,1,
2233,"UKIP are an independent party and have shown that their appeal is broad, making big dents in staunchly Labour voting areas as well as the recent bi-election successes.",As one UKIP member said to me - if this is a protest vote it's a bloody big protest.,1,Support,C,0,1,0,
1035,"I don't think most people realise the benefits of free trade at all, and UKIP capitalise on peoples ignorance of the benefits of free trade as much as they can.","In a report released earlier this month, Amnesty International accused European Union leaders of miserably failing to provide a safe haven to Syrians.",2,No Relation,C,0,0,1,
2469,the di agrees that methodological naturalism simply requires that in trying to explain any particular observation or experimental result an investigator may not resort to miracles,when i grew up science was a useful tool for discovering things about the world around us,0,Attack,C,0,0,1,
213,"UKIP are a fairly right wing group as I'm sure will become clear when they actually produce some policies other than the ""its all the eu's"" fault.","High up in the Staffordshire Moorlands in the village of Endon, Liberal Democrat candidate Christina Jebb has her campaign leaflets set out on the dining table.",2,No Relation,C,0,0,1,
825,If the other parties do tackle the issues of EU and immigration I'll be more than happy to see UKIP disappear.,"The English Democrats later claimed Mr Nattrass had agreed to join them and run in next year's European elections, but had then changed his mind.",2,No Relation,C,0,0,1,
1734,"UKIP doesn't understand that young people are, by and large, progressive.",But UKIP claims to be winning support among younger voters and students.,0,Attack,C,1,0,0,
518,"I don't see UKIP as being far right, they're just further right than the rest who have congregated arund the middle ground.","In response to Mr Barroso's comments, Mr Callanan said it was a bit rich for the unelected head of the European Commission to give electoral adviceâ€¦ but I suppose that's typical of him.",2,No Relation,C,0,0,1,
979,"I voted Tory for 30 years and started supporting UKIP because I want a sovereign, democratic , well governed Britain with Britain put first and its getting clearer by the day that the old Liblabcon parties will not do that.","Ex-Tory councillor Suzanne Evans, who has just switched to UKIP, said she felt her residents were not being properly represented by her old party and ended up delivering leaflets that were wishy-washy and Labour light.",1,Support,C,0,1,0,
636,"My observation is that UKIP often are reluctant to directly answer any questions of substance, which can be accounted for by the fact that they really have no policies.",UKIP's leader has spoken of running joint candidates at future elections after talks with some Conservative associations and one local Labour party.,2,No Relation,C,1,0,0,
2141,"If we leave the EU we will save billions of pounds which can then be invested in our ailing national infrastructure, notably the NHS.",The Lib Dem leader also argued that being in the EU meant that we keep ourselves safer because we can go after cross-border crime and terrorism and that we can look after the environment in a way which we can't on our own.,0,Attack,C,1,0,0,
352,It's a protest vote because (most) people know that UKIP will never net in power.,She told the BBC she was referring to illegal immigrants and the paper based its story on snippets of the film.,2,No Relation,C,0,0,1,
2138,The people and media that are criticising UKIP are highlighting the genuine concerns about UKIP and their policies towards immigrants.,"The Labour-supporting mother of murdered teenager Stephen Lawrence, told ITV's Daybreak she thought racial profiling was involved - a suggestion rejected by ministers.",2,No Relation,C,0,1,0,
