orig_idx,arg1,arg2,support [true value],support_label,strategy,pred_attack,pred_support,pred_neither,pred_relevance
1950, if we werent continually evolving most of us  wouldnt be offended by the way the rest are degenerating, no no no  we are evolving constantly we have evolve so much that now we have the power to create,1,Support,A,0,,,
358,"UKIP are a two trick pony, Europe and immigration that's it.","UKIP's views are very different compared to the three main parties, and not just on immigration and the EU!",0,Attack,A,1,,,
1345,so tj you seem to have made quite a few foolish arguments how familiar are you with augustinetj  well i know that he believed the earth was created instantaneously not progressively and was according to scripture less than  years old,after some diversions to point out that augustine himself held some inconsistent positions tj finally comes to the quote i providedtji understand what he is saying but for this to be valid the unbeliever has to accurate in what he believes,0,Attack,A,0,,,
1048, features that appear vestigial and functionless actually serve a function eg, features that appear vestigial and functionless actually serve a function eg,0,Attack,A,0,,,
2405,I prefer trade to aid,Trade provides developing countries with an important basis for their own improvement,1,Support,A,0,,,
1872,i think you have some misconceptions about what evolution actually is,answers answers answersthanks,1,Support,A,0,,,
1696,your argument breaks down if your audience rejects the notion that adam was created ex nihilo with the appearance of age,with all due respects here is my bottom line though i run the risk of being arrogan and closedminded i only write for the judeochristian world view,0,Attack,A,0,,,
1166,behe assertsdesign is recognized in the purposeful arrangement of partswho decides if an arrangement of parts is purposeful  what does purposeful really mean in that statement  do the parts have purpose  does the arrangement have purpose  did the designer have purpose  if i take an old wristwatch and remove all the springs and gears and arrange them in a circle is the circle designed  if i throw them in a heap are all of the parts of the watch no longer designed  if i pick up some metal shavings off of the floor from under the lathe in the machine shop and arrange them into a complicated mathematical pattern that i generated using a computer program can you tell if this is a purposeful design or just a random designis a virus designed  a prion  a fragment of rna a benzene molecule  how can you tellwaving your hands and saying i know design when i see it and all life was obviously designed just wont cut it,who decides if an arrangement of parts is purposeful what does purposeful really mean in that statement do the parts have purposeif there is some form of synergy in the arrangement then yes that would be purposeful,0,Attack,A,0,,,
378,UKIP are not a single issue party anymore; UK Sovereignty is the crux of their party political platform but they've certainly expanded from that singular issue in recent years.,And on a broader platform UKIP claims to be winning support among younger voters and students.,1,Support,A,0,,,
848,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,I can categorically rule out any form of electoral pact with UKIP or anyone else.,0,Attack,A,1,,,
399,"I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.",There is only one party in this country that can guarantee the people in this country will get a referendum on the EU and that is UKIP.,0,Attack,A,1,,,
1786,hey razza for i wanna say thanks for standing up for what u believe in most people want hard evidence that will prove gods existence when really we ourselves are evidence that god exists,i have never seen an ape evolve into a human and although i have never seen god that makes more sense than evolution,0,Attack,A,1,,,
756,UKIP's sole aim at the general election is to get a smallish number of MPs elected but enough to hold the balance of power and do a deal with the Tories.,"Earlier this year, UKIP leader Nigel Farage said he was open to the idea of a pact but demanded a referendum pledge written in blood.",1,Support,A,0,,,
2541,We should force think tanks to reveal all of their sources for resource funding,People have a right to know where their information comes from,1,Support,A,0,,,
785,"The ratio of nutters in UKIP is far higher than in other parties, especially so since they seem determined to take all the Tories' fruitcakes off them.",Amjad Bashir was responding to comments on Wednesday's Daily Politics from ex-deputy PM Lord Heseltine that UKIP was a racist party.,1,Support,A,0,,,
1263,youre lucky not enough people know or care enough about your religion to throw out opinions based on it presented as science philosophy logic or fact on the spot,hello richardi admire your wealth in cash funds,0,Attack,A,0,,,
987,that one is from isaiah ,yes god is by his nature  supernatural,0,Attack,A,0,,,
122,"In UKIP, we have a new political force which looks likely to poll very well in a national election.",UKIP's Nigel Farage said the surge in support for his party was not a freak result but a continuation of a trend which had seen it rise in the national polls.,1,Support,A,0,,,
